Quick Sell Value,Name,Position(s),Rating,Nation,Club,League,Pace,Shooting,Passing,Dribbling,Defending,Physical,Age,Height,Weight,Foot,Attack WR,Defend WR,Weak Foot,Skill Moves,Real Face,Card,Date Of Birth,Acceleration,Sprint Speed,Att. Position,Finishing,Shot Power,Long Shots,Volleys,Penalties,Vision,Crossing,FK Acc.,Short Pass,Long Pass,Curve,Agility,Balance,Reactions,Ball Control,Dribbling,Composure,Interceptions,Heading Acc.,Def. Aware,Stand Tackle,Slide Tackle,Jumping,Stamina,Strength,Aggression,CM Release Clause,CM Wage,CM Value,CM Role
,Tielemans,CM,80,Belgium,Leicester City,EPL,63,78,82,78,68,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harry Winks,CM,80,England,Spurs,EPL,70,58,77,83,71,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kieran Trippier,RB,80,England,Atletico Madrid,La Liga Santander,74,60,81,76,78,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pozuelo,CAM,80,Spain,Toronto FC,MLS,66,73,78,83,50,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bakayoko,CDM,80,France,AS Monaco,Ligue 1,66,48,69,74,79,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bernard,LM,80,Brazil,Everton,EPL,87,69,76,85,38,44,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rebic,ST,80,Croatia,Frankfurt,Bundesliga,,,,,29,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alvaro Odriozola,RB,80,Spain,Real Madrid,La Liga Santander,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joao Felix,CF,80,Portugal,Atletico Madrid,La Liga Santander,82,80,74,81,40,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benjamin Mendy,LB,80,France,Manchester City,EPL,81,51,77,77,77,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Antunes,LB,80,Portugal,Getafe,La Liga Santander,75,69,76,76,77,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bender,RB,80,Germany,Leverkusen,Bundesliga,65,64,72,72,83,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Verdi,LM,80,Italy,Napoli,Serie A,86,73,80,83,48,53,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eric Bailly,CB,80,Ivory Coast,Manchester United,EPL,76,42,58,63,79,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Almiron,LW,80,Paraguay,Newcastle United,EPL,89,74,76,81,48,63,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Berghuis,RW,80,Netherlands,Feyenoord,Eredivisie,78,77,81,81,36,62,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kramer,CDM,80,Germany,M'Gladbach,Bundesliga,52,49,71,73,77,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nani,LW,80,Portugal,Orlando City,MLS,72,75,79,86,37,62,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedro Leon,RM,80,Spain,SD Eibar,La Liga Santander,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joaquin,LM,80,Spain,Real Betis,La Liga Santander,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sergi Enrich,ST,80,Spain,SD Eibar,La Liga Santander,60,78,70,75,43,78,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diaz,CDM,80,Chile,Racing Club,Primera Division,59,67,81,75,74,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salif Sane,CB,80,Senegal,Schalke,Bundesliga,62,49,65,64,80,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul Garcia,CAM,80,Spain,Athletic Bilbao,La Liga Santander,47,82,80,77,72,81,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Steven N'Zonzi,CDM,80,France,Galatasaray,Super Lig,42,55,71,69,79,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wayne Rooney,ST,80,England,DC United,MLS,64,81,80,76,56,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ismaily,LB,80,Brazil,Shakhtar Donetsk,Ukrainian League,82,66,74,81,75,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Musacchio,CB,80,Argentina,Milan,Serie A,66,47,63,68,83,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hector Bellerin,RB,80,Spain,Arsenal,EPL,92,51,70,77,76,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guilavogui,CDM,80,France,Wolfsburg,Bundesliga,59,59,67,66,83,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Balde Keita Diao,RM,80,Senegal,AS Monaco,Ligue 1,91,76,72,83,29,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bernat,LB,80,Spain,Paris,Ligue 1,82,61,78,85,74,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paredes,CM,80,Argentina,,Ligue 1,71,67,81,79,72,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maignan,GK,80,France,LOSC Lille,Ligue 1,78,77,78,83,47,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hasebe,CB,80,Japan,Frankfurt,Bundesliga,53,51,76,72,81,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gignac,ST,80,France,Tigers,Liga MX,69,82,71,72,43,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santi Mina,ST,80,Spain,RC Celta,La Liga Santander,77,79,69,78,53,72,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Loic Perrin,CB,80,France,ASSE,Ligue 1,52,58,69,67,81,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Radu,CB,80,Romania,Lazio,Serie A,64,64,65,68,83,69,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghoulam,LB,80,Algeria,Napoli,Serie A,75,64,77,77,78,73,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kaderabek,RWB,80,Czech Republic,TSG Hoffenheim,Bundesliga,77,43,74,75,75,81,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marcone,CDM,80,Argentina,Buenos Aires,Primera Division,55,58,73,79,75,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capoue,CDM,80,France,Watford,EPL,52,71,74,73,78,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diogo Jota,LF,80,Portugal,Wolves,EPL,83,77,70,84,53,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mario Hermoso,CB,80,Spain,Atletico Madrid,La Liga Santander,79,49,72,71,79,77,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Marega,ST,80,,FC Porto,Liga NOS,88,79,63,65,41,90,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correa,CF,80,Argentina,Lazio,Serie A,84,75,75,84,39,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Melendo,RM,80,Spain,RCD Espanyol,La Liga Santander,82,71,77,81,55,61,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Borja Valero,CAM,79,Spain,Inter,Serie A,48,69,84,82,66,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richarlison,RM,79,Brazil,Everton,EPL,84,77,72,81,45,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cote,LB,79,Spain,SD Eibar,La Liga Santander,69,54,75,74,79,69,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Criscito,LB,79,Italy,Genoa,Serie A,74,61,76,72,79,75,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soares,ST,79,Brazil,FC Porto,Liga NOS,82,75,60,75,48,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wahbi Khazri,ST,79,Tunisia,ASSE,Ligue 1,76,80,77,79,43,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ward-Prowse,CM,79,England,Southampton,EPL,60,71,85,77,62,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Axel Teixeira,ST,79,Brazil,,CSL,92,76,73,82,42,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jason Murillo,CB,79,Colombia,Sampdoria,Serie A,75,40,59,64,79,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Javier Pastore,CM,79,Argentina,Roma,Serie A,62,73,81,81,56,58,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nick Pope,GK,79,England,Burnley,EPL,78,80,75,79,49,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dyego Sousa,ST,79,Portugal,,,55,81,53,71,30,86,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modeste,ST,79,France,Koln,Bundesliga,74,78,63,72,35,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chiesa,RW,79,Italy,Fiorentina,Serie A,85,74,71,82,44,64,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Brooks,CB,79,United States,Wolfsburg,Bundesliga,71,39,58,65,80,75,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aaron Wan-Bissaka,RB,79,England,Manchester United,EPL,87,50,63,78,80,72,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Konate,CB,79,France,RB Leipzig,Bundesliga,78,27,54,68,80,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chilwell,LB,79,England,Leicester City,EPL,78,49,71,77,76,75,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vinicius Junior,LW,79,Brazil,Real Madrid,La Liga Santander,93,70,71,84,29,63,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Kehrer,CB,79,Germany,PSG,Ligue 1,74,44,65,68,78,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denayer,CB,79,Belgium,OL,Ligue 1,75,42,63,69,79,78,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saint-Maximin,RW,79,France,Newcastle United,EPL,93,70,70,86,23,63,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vitolo,LM,79,Spain,Atletico Madrid,La Liga Santander,76,76,76,79,41,75,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eder,ST,79,Italy,Jiangsu Suning,CSL,86,78,73,82,29,65,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Benedetto,ST,79,Argentina,OM,Ligue 1,80,80,66,75,38,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arias,RB,79,Colombia,Atletico Madrid,La Liga Santander,83,53,69,75,76,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roque Mesa,CDM,79,Spain,CD Leganes,La Liga Santander,71,61,74,78,71,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stuani,ST,79,Uruguay,Girona,LaLiga 1 | 2 | 3,,,,,,,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Eric Dier,CDM,79,England,Spurs,EPL,54,63,71,65,80,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alario,ST,79,Argentina,Leverkusen,Bundesliga,71,77,59,75,29,75,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kalou,LM,79,Ivory Coast,Hertha BSC,Bundesliga,,,,,,,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dante,CB,79,Brazil,OGC Nice,Ligue 1,36,52,67,64,80,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kolasinac,LB,79,Bosnia & Herzegovina,Arsenal,EPL,75,62,72,72,75,87,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mario Rui,LB,79,Portugal,Napoli,Serie A,83,49,73,79,73,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kwadwo Asamoah,LB,79,Ghana,Inter,Serie A,74,68,78,82,79,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Arias,RB,79,Colombia,Atletico Madrid,La Liga Santander,83,53,69,75,76,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trossard,LW,79,Belgium,Brighton,EPL,83,80,76,82,30,62,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bendetto,ST,79,Argentina,OM,Ligue 1,80,80,66,75,38,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Spinazzola,LM,79,Italy,Roma,Serie A,81,64,74,79,76,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Soucek,CDM,79,Czech Republic,,,70,68,72,73,79,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Boly,CB,79,France,Wolves,EPL,64,35,62,62,78,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diego Carlos,CB,79,Brazil,Sevilla,La Liga Santander,77,44,58,68,78,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pallois,CB,79,France,FC Nantes,Ligue 1,49,53,60,57,79,84,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wu Lei,ST,79,China,RCD Espanyol,La Liga Santander,87,74,72,79,36,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zagadou,CB,79,France,Dortmund,Bundesliga,62,34,61,51,80,80,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Max Gradel,LW,79,Ivory Coast,Toulouse,Ligue 1,84,78,73,81,42,62,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kenny Lala,RWB,79,France,RC Strasbourg,Ligue 1,79,54,76,77,74,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diallo,CB,79,France,Paris,Ligue 1,77,37,70,76,78,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Munir Al Hadadi,ST,79,Spain,Sevilla,La Liga Santander,84,77,75,81,35,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pellegrini,CM,79,Italy,Roma,Serie A,74,68,79,77,72,69,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Zappacosta,RB,79,Italy,Roma,Serie A,78,66,72,74,76,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Guzman,GK,79,Argentina,Tigers,Liga MX,78,76,70,79,51,80,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Omer Toprak,CB,79,Turkey,Werder Bremen,Bundesliga,71,37,62,67,80,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Serje Aurier,RB,79,Ivory Coast,Spurs,EPL,77,59,73,76,77,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lavezzi,ST,79,Argentina,,CSL,84,79,78,83,40,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Angel,ST,79,Spain,Getafe,La Liga Santander,74,79,61,79,34,64,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Candreva,RM,79,Italy,Inter,Serie A,74,78,76,79,61,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Augusto Fernandez,CM,79,Argentina,Beijing Renhe,CSL,68,70,76,78,71,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yarmolenko,RM,79,Ukraine,West Ham,EPL,68,80,78,81,42,70,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lafont,GK,79,France,FC Nantes,Ligue 1,80,77,71,83,47,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maicon,CB,79,Brazil,Al Nasser,Saudi Pro League,53,55,66,55,79,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iago Falque,CF,79,Spain,Torino,Serie A,75,74,79,84,41,54,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raul,CB,79,Brazil,SC Braga,Liga NOS,51,54,59,58,79,83,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Granero,CM,79,Spain,RCD Espanyol,La Liga Santander,47,74,81,75,67,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Samatta,ST,79,,,Belgium Pro League,85,78,66,73,32,74,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Belozoglu,CM,78,Turkey,Fenerbahce,Super Lig,44,72,84,78,63,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wanyama,CDM,78,,Spurs,EPL,51,65,67,70,79,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Grifo,LM,78,Italy,TSG Hoffenheim,Bundesliga,70,75,76,82,41,62,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cristante,CM,78,Italy,Roma,Serie A,58,72,75,75,74,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Danny Welbeck,ST,78,England,Watford,EPL,77,74,70,76,43,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Daniel Carrico,CB,78,Portugal,Sevilla,La Liga Santander,39,53,67,62,78,73,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pulgar,CDM,78,Chile,Fiorentina,Serie A,64,61,75,74,76,78,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andre,CM,78,France,LOSC Lille,Ligue 1,70,64,75,75,77,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Delort,ST,78,Algeria,Montpellier,Ligue 1,73,78,70,77,33,80,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pedro Mendes,CB,78,Portugal,Montpellier,Ligue 1,63,56,50,62,80,79,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Herelle,CB,78,France,OGC Nice,Ligue 1,64,46,63,63,78,74,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sakai,RB,78,Japan,OM,Ligue 1,78,54,68,68,76,79,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuri Sahin,CDM,78,Turkey,Werder Bremen,Bundesliga,31,69,81,78,74,67,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bruno,CM,78,Spain,Villareal,La Liga Santander,31,71,77,71,76,62,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fernando,CDM,78,Brazil,,CSL,73,66,76,73,74,75,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alan Carvalho,ST,78,Brazil,Tianjin Tianhai,CSL,83,75,68,81,33,71,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Diop,CDM,78,,SD Eibar,La Liga Santander,44,66,68,68,78,85,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ferro,CB,78,Portugal,SL Benfica,Liga NOS,54,43,56,64,80,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bruno Viana,CB,78,Brazil,SC Braga,Liga NOS,66,42,56,58,79,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Adrien Silva,CM,78,Portugal,Leicester City,EPL,58,74,79,76,70,65,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dunk,CB,78,England,Brighton ,EPL,46,40,55,61,78,77,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ngadeu,CB,78,Cameroon,KAA Gent,Belgium Pro League,68,53,59,67,78,83,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Mignolet ,GK,78,Belgium,Club Brugge ,Belgium Pro League,,,,,,,,,,,----------------------,----------------------,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joelinton,ST,78,Brazil,Newcastle United,EPL,78,75,60,76,43,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zinchenko,LB,78,Ukraine,Manchester City,EPL,71,66,80,79,77,66,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dahoud,CM,78,Germany,Dortmund,Bundesliga,,,,,,,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mauro Zarate,ST,78,Argentina,Buenos Aires,Primera Division,77,80,70,84,42,68,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Raffael,CF,78,Brazil,M'Gladbach,Bundesliga,62,76,80,83,44,62,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Odegaard,RW,78,Norway,Real Soceidad,La Liga Santander,74,69,82,84,40,49,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stambouli,CB,78,France,Schalke,Bundesliga,63,55,67,71,79,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Masiello,CB,78,Italy,Atalanta,Serie A,54,37,57,59,80,70,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caceres,CB,78,Uruguay,Lazio,Serie A,74,51,65,70,79,73,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Da Silva,CB,78,France,Stade Rennais,Ligue 1,59,37,57,56,78,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Khune,GK,78,South Africa,,,75,74,90,80,35,76,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Andres Fernandez,GK,78,Spain,Villareal,La Liga Santander,80,75,68,79,57,76,,,,,,,,,,Common Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gervinho,LW,78,Ivory Coast,Parma,Serie A,90,70,71,79,35,59,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ikone,CAM,78,France,LOSC Lille,Ligue 1,89,70,72,81,33,60,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maripan,CB,78,Chile,,,40,33,48,48,78,79,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wagner,ST,78,Germany,,,59,79,53,65,36,82,,,,,,,,,,Rare Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
